title,category,nltk_len,spacy_len,spacy_embed_len
The Shattering Truth of 3D-Printed Clothing,3D printed apparel,21,22,24
Soon you may be able to 3D print clothing in your own home,3D printed apparel,39,43,47
"A clothing startup founded by MIT grads is using 3D printing to make better, more sustainable clothes",3D printed apparel,42,42,46
3D Printing of Clothing,3D printed apparel,34,34,37
3D printed fashion: Why is additive manufacturing interesting for fashion?,3D printed apparel,73,73,77
Why Shop When You Can 3D Print Your Clothes?,3D printed apparel,69,77,77
How 3D printing in the textile industry is leading into a new era,3D printed apparel,66,62,71
"3D-printed apparel and 3D-printer: exploring advantages, concerns, and purchases",3D printed apparel,4,4,5
Print your Clothes – A DIY Trend of the Future?,3D printed apparel,36,36,37
3D-Printed Fashion: Coming to a Boutique Near You?,3D printed apparel,36,40,40
Exploring the Abilities of 3D Printing and its Viability for Consumption in the Fashion Industry,3D printed apparel,1,11,2
Consumers’ purchase intention of 3D-printed apparel,3D printed apparel,14,11,12
STRATASYS 3D PRINTS DIRECTLY ONTO CLOTHING FOR THREEASFOUR COLLECTION AT NEW YORK FASHION WEEK,3D printed apparel,40,44,47
3D Printed Clothes,3D printed apparel,7,8,8
3D PRINTED CLOTHING AND SHOES,3D printed apparel,16,16,16
"3D-Printed Clothing Emphasizes Innovation, Sustainability",3D printed apparel,63,76,79
Designer Julia Daviy on disrupting and bringing sustainability to the fashion industry,3D printed apparel,75,75,76
Exploration of 3D printing to create zero-waste sustainable fashion notions and jewelry,3D printed apparel,509,484,466
12 Revolutionary Ways 3D Printing Is Changing The World,3D printed apparel,60,60,60
Unlocking value for a circular economy through 3D printing: a research agenda,3D printing,587,650,590
3D Printing: New Economic Paradigms and Strategic Shifts,3D printing,200,196,210
The Benefits of 3D Printing: Remote Production,3D printing,118,121,125
Moving Towards Distributed Manufacturing with 3D Printing,3D printing,46,46,53
Additive Manufacturing: The Most Promising Technology to Alter the Supply Chain and Logistics,3D printing,246,244,259
3D opportunity for the supply chain: Additive manufacturing delivers,3D printing,118,117,122
The impact of 3D Printing Technology on the supply chain: Manufacturing and legal perspectives,3D printing,2,2,3
How 3D Printing Is Changing Production Models,3D printing,139,163,172
Dematerialised and re-dematerialised economy – 3D printing as a key technological and environment-friendly innovation,3D printing,516,492,497
The potential of 3D printing to reduce the environmental impacts of production,3D printing,18,19,19
Routledg Handbook of Sustainable Product Design,3D printing,1,1,1
Dematerialising the future: what role can technology and consumers play?,3D printing,41,41,45
"A New Industrial Future?: 3D Printing and the Reconfiguring of Production, Distribution and Consumption",3D printing,1,1,1
Why 3D Printing Is a Critical Part of the Battle Against Climate Change,3D printing,86,85,95
How sustainable is 3D printing as a manufacturing process?,3D printing,54,55,55
3D Printing Materials: Sustainable or Not?,3D printing,36,36,37
From Recycled Plastic To 3D Printing: More Creative Sustainable Fashion Solutions,3D printing,20,21,22
It’s too soon to call 3D printing a green technology,3D printing,53,57,59
The Influence of 3D Printing on Global Container Multimodal Transport System,3D printing,701,703,726
3D Printing Could Reduce the Navy’s Transportation Costs,3D printing,48,50,51
Influence of 3D printing on transport: a theory and experts judgment based conceptual model,3D printing,4,4,5
3D Printing’s Impact on the Transportation Industry,3D printing,36,38,39
Opinion: 3D Printing Could Bring Supply Chain Closer to Customers,3D printing,38,39,41
The 12 Initiatives that Combine 3D Printing & Sustainability,3D printing,86,85,87
How Sustainable Is 3D Printing?,3D printing,48,47,51
3D Printing for Sustainable Living,3D printing,26,30,32
Accelerating Sustainable Mobility with Autonomous Vehicles,Autonomous transport,100,100,100
Autonomous Vehicles Factsheet,Autonomous transport,62,68,84
